Time (s),Mean HR Fallers (bpm),SD HR Fallers (bpm),Mean HR Non-Fallers (bpm),SD HR Non-Fallers (bpm)
-1.040000000000000000e+02,6.500197246190548128e+01,1.053248595559414014e+01,6.696484464332596076e+01,1.157747092175167936e+01
-1.039000000000000057e+02,6.500350029582207867e+01,1.053166605300997283e+01,6.695712790406201975e+01,1.156398828639966680e+01
-1.037999999999999972e+02,6.500479003504699449e+01,1.053116392402323775e+01,6.694942856295295996e+01,1.155138137703062462e+01
-1.037000000000000028e+02,6.500579611182349993e+01,1.053101489789439782e+01,6.694151150417930296e+01,1.153925056596294674e+01
-1.035999999999999943e+02,6.500644825961317963e+01,1.053124246539980824e+01,6.693326139372517503e+01,1.152731383262006482e+01
-1.035000000000000000e+02,6.500665595076826264e+01,1.053180932216522869e+01,6.692467795172510137e+01,1.151539072819062071e+01
-1.034000000000000057e+02,6.500634989538568220e+01,1.053258558694335889e+01,6.691581033978056325e+01,1.150335594685163443e+01
-1.032999999999999972e+02,6.500549029026468872e+01,1.053338628526368659e+01,6.690671759827839082e+01,1.149109748337642145e+01
-1.032000000000000028e+02,6.500403932231260740e+01,1.053401714417610613e+01,6.689745274022007493e+01,1.147849372003483381e+01
-1.030999999999999943e+02,6.500195528046639026e+01,1.053428471534998145e+01,6.688805140841795094e+01,1.146540969531840304e+01
-1.030000000000000000e+02,6.499919582858701972e+01,1.053399560043514427e+01,6.687849119301901624e+01,1.145165091022912840e+01
-1.029000000000000057e+02,6.499575186376208080e+01,1.053299644867954221e+01,6.686864203446283739e+01,1.143689288946129778e+01
-1.027999999999999972e+02,6.499171004950410691e+01,1.053125494204445189e+01,6.685827444976224854e+01,1.142070360504650139e+01
-1.027000000000000028e+02,6.498725109584721338e+01,1.052886185201573710e+01,6.684710098721684801e+01,1.140262135242190844e+01
-1.025999999999999943e+02,6.498259232780135619e+01,1.052595167730538250e+01,6.683483816936772826e+01,1.138226160127192266e+01
-1.025000000000000000e+02,6.497793921293983033e+01,1.052265163150922689e+01,6.682124347349576965e+01,1.135939615458601715e+01
-1.024000000000000057e+02,6.497345513482100898e+01,1.051908275385887848e+01,6.680609027611137662e+01,1.133386992183387676e+01
-1.022999999999999972e+02,6.496926480178977670e+01,1.051539123132548426e+01,6.678921994801724793e+01,1.130570253302859918e+01
-1.022000000000000028e+02,6.496544786903025681e+01,1.051170710522355556e+01,6.677061491014323735e+01,1.127526214508116809e+01
-1.020999999999999943e+02,6.496201759055767866e+01,1.050805667369591490e+01,6.675032392612367005e+01,1.124305936864610089e+01
-1.020000000000000000e+02,6.495893896889170094e+01,1.050438574609548503e+01,6.672838440945353966e+01,1.120953357074621159e+01
-1.019000000000000057e+02,6.495614790467600130e+01,1.050062722470202736e+01,6.670481973521482644e+01,1.117499877491532523e+01
-1.017999999999999972e+02,6.495356572295649755e+01,1.049672410214273910e+01,6.667969415847244363e+01,1.113970624597436654e+01
-1.017000000000000028e+02,6.495113817547075996e+01,1.049263969750743009e+01,6.665331660816579529e+01,1.110419245919156950e+01
-1.015999999999999943e+02,6.494884700550836953e+01,1.048835647473709187e+01,6.662634092934423791e+01,1.106946987929482873e+01
