Time (s),Mean SBP (mmHg),SD SBP (mmHg)
-8.730000000000001137e+01,1.162023365387809264e+02,1.942313738014277646e+01
-8.720000000000000284e+01,1.163191361453925339e+02,1.946691126554689788e+01
-8.709999999999999432e+01,1.164411685703653490e+02,1.952036717425178836e+01
-8.700000000000000000e+01,1.165695819128654733e+02,1.956831737997288201e+01
-8.690000000000000568e+01,1.166460775602434268e+02,1.960963698986290282e+01
-8.680000000000001137e+01,1.166973484874633868e+02,1.967635107495856062e+01
-8.670000000000000284e+01,1.166511989285640851e+02,1.958896264559278677e+01
-8.659999999999999432e+01,1.165214628042357816e+02,1.933553352340142695e+01
-8.650000000000000000e+01,1.163730996909789184e+02,1.911525157798430996e+01
-8.640000000000000568e+01,1.161992918223289450e+02,1.892187562868741679e+01
-8.630000000000001137e+01,1.160107711716016468e+02,1.875951060986587038e+01
-8.620000000000000284e+01,1.158224411124262332e+02,1.863695561194022687e+01
-8.609999999999999432e+01,1.156690058111421422e+02,1.856420613979626566e+01
-8.600000000000000000e+01,1.157034869842006657e+02,1.862008621728641700e+01
-8.590000000000000568e+01,1.157541649296385344e+02,1.869064322151205815e+01
-8.580000000000001137e+01,1.158081568017270087e+02,1.876627112453406809e+01
-8.570000000000000284e+01,1.158552934766372431e+02,1.878993325775062573e+01
-8.559999999999999432e+01,1.158726646471588424e+02,1.882571473076260915e+01
-8.550000000000000000e+01,1.158475214624736225e+02,1.889045067414015122e+01
-8.540000000000000568e+01,1.157999034585333646e+02,1.897499145576660240e+01
-8.530000000000001137e+01,1.157398147035279123e+02,1.905422136637365327e+01
-8.520000000000000284e+01,1.156775309917037617e+02,1.914493993929013982e+01
-8.509999999999999432e+01,1.156291874275023872e+02,1.925062719455856097e+01
-8.500000000000000000e+01,1.155678212830493834e+02,1.933132165339548081e+01
-8.490000000000000568e+01,1.154593467053755376e+02,1.946035638554864633e+01
-8.480000000000001137e+01,1.153753998329628274e+02,1.958414170753393435e+01
-8.470000000000000284e+01,1.153051014867768060e+02,1.970724353540659024e+01
-8.459999999999999432e+01,1.152392406343097662e+02,1.984507876079575084e+01
-8.450000000000000000e+01,1.151819650496708931e+02,1.998955911385254325e+01
-8.440000000000000568e+01,1.151309185805996691e+02,2.015790587379172649e+01
-8.430000000000001137e+01,1.150418177982867718e+02,2.034834994114398299e+01
-8.420000000000000284e+01,1.148809418201408761e+02,2.037940019616760168e+01
-8.409999999999999432e+01,1.147949243757102806e+02,1.996508772580712687e+01
-8.400000000000000000e+01,1.147678425189701130e+02,1.951264338597870918e+01
-8.390000000000000568e+01,1.147514646264150144e+02,1.911114611973419031e+01
-8.380000000000001137e+01,1.147425244275293323e+02,1.876989557903116435e+01
-8.370000000000000284e+01,1.147302056130452570e+02,1.848685044215858397e+01
-8.359999999999999432e+01,1.147393995227171075e+02,1.828121592406300522e+01
-8.350000000000000000e+01,1.148354636971991596e+02,1.819094340865995463e+01
-8.340000000000000568e+01,1.149666011516162740e+02,1.814868562425949250e+01
-8.330000000000001137e+01,1.150778331328034767e+02,1.803763333079335851e+01
-8.320000000000000284e+01,1.151269632129602627e+02,1.793231315184209862e+01
-8.309999999999999432e+01,1.152567553770212072e+02,1.789539844999442053e+01
-8.300000000000000000e+01,1.155676333594553000e+02,1.802572876263424462e+01
-8.290000000000000568e+01,1.159038694432849894e+02,1.827347791869736326e+01
