Time (s),Mean DBP Fallers (mmHg),SD DBP Fallers (mmHg),Mean DBP Non-Fallers (mmHg),SD DBP Non-Fallers (mmHg)
-9.959999999999999432e+01,5.912294836793582675e+01,7.065719422928228077e+00,6.385954257425603942e+01,1.259572370105275319e+01
-9.950000000000000000e+01,5.912704359030892221e+01,7.038000907263596062e+00,6.382964700590192564e+01,1.253664433325424632e+01
-9.940000000000000568e+01,5.912796478200344552e+01,7.019097697010654002e+00,6.377885562573698053e+01,1.247994428983259141e+01
-9.929999999999999716e+01,5.912849063181378995e+01,7.004787203754855085e+00,6.373076334897856299e+01,1.243178051447862664e+01
-9.920000000000000284e+01,5.911372879163972271e+01,6.987937597401705503e+00,6.368322242629830754e+01,1.239196847031668014e+01
-9.909999999999999432e+01,5.909191886507836955e+01,6.978265451454925383e+00,6.365410285093459208e+01,1.235059205545491956e+01
-9.900000000000000000e+01,5.907211240928776874e+01,6.975400264040944265e+00,6.364267007025275547e+01,1.233987951837491970e+01
-9.890000000000000568e+01,5.904049953941445494e+01,6.994462011317500227e+00,6.363782108946768545e+01,1.232848738462795168e+01
-9.879999999999999716e+01,5.900487513576174337e+01,7.018604471818421509e+00,6.363485005558843710e+01,1.232433128130659661e+01
-9.870000000000000284e+01,5.895215068607089393e+01,7.049260021741803328e+00,6.363549556005865071e+01,1.233189978054362257e+01
-9.859999999999999432e+01,5.891076395271318944e+01,7.081791511651840842e+00,6.365621656892920299e+01,1.234469336534952610e+01
-9.850000000000000000e+01,5.887489543028376460e+01,7.108627530476469225e+00,6.368762226474905219e+01,1.237287652882231725e+01
-9.840000000000000568e+01,5.883902690785431844e+01,7.137538425080191651e+00,6.370684628566645813e+01,1.237239840535839441e+01
-9.829999999999999716e+01,5.879640850278953224e+01,7.158856740550892717e+00,6.372550032535338715e+01,1.236857596709619322e+01
-9.820000000000000284e+01,5.874484497256459292e+01,7.172676737399169333e+00,6.370690183412508389e+01,1.234823189903227281e+01
-9.809999999999999432e+01,5.869490338110110628e+01,7.192570816456070659e+00,6.367008067453605236e+01,1.232343101098931371e+01
-9.800000000000000000e+01,5.866317999824961049e+01,7.211223035445884832e+00,6.360611589463277937e+01,1.225635036164309533e+01
