Time (s),Mean SBP Fallers (mmHg),SD SBP Fallers (mmHg),Mean SBP Non-Fallers (mmHg),SD SBP Non-Fallers (mmHg)
-1.004000000000000057e+02,1.150605324599912223e+02,1.745820714154399056e+01,1.232311808342148112e+02,2.042325732385448234e+01
-1.002999999999999972e+02,1.150729177299315609e+02,1.748918117458853061e+01,1.233306968838244160e+02,2.033588043794757638e+01
-1.002000000000000028e+02,1.151067764464198007e+02,1.750784946427096145e+01,1.233773725889544579e+02,2.019366868636238976e+01
-1.000999999999999943e+02,1.151802938881298957e+02,1.749685560102720672e+01,1.232932181760426289e+02,1.995174930042038142e+01
-1.000000000000000000e+02,1.152505951175910326e+02,1.745243846660928000e+01,1.232160511128170697e+02,1.975189613182937975e+01
-9.990000000000000568e+01,1.153158073226967417e+02,1.739147279701640869e+01,1.230352600392221376e+02,1.959572771649460776e+01
-9.979999999999999716e+01,1.153810195278026356e+02,1.733921274525011214e+01,1.228531799521653625e+02,1.949226357847955526e+01
-9.970000000000000284e+01,1.154338509270213819e+02,1.728798331337887362e+01,1.226831373323356758e+02,1.943876024639511613e+01
-9.959999999999999432e+01,1.154827452298614787e+02,1.721920352119242992e+01,1.225239401160411603e+02,1.942915353420077906e+01
-9.950000000000000000e+01,1.155235336200452139e+02,1.711081076832766001e+01,1.224388169746762856e+02,1.947155252035174655e+01
-9.940000000000000568e+01,1.155789485927366087e+02,1.699824286736395251e+01,1.224224608757209865e+02,1.942344533605248458e+01
-9.929999999999999716e+01,1.156318298937769384e+02,1.688583860482646060e+01,1.224067534856312989e+02,1.936891608430682510e+01
-9.920000000000000284e+01,1.156789972036887946e+02,1.676798037836615762e+01,1.223929894514453594e+02,1.932904925280689667e+01
-9.909999999999999432e+01,1.157137721739209866e+02,1.665900734450615062e+01,1.223773061143606782e+02,1.932446379105430978e+01
-9.900000000000000000e+01,1.156850721981350887e+02,1.655092567485972666e+01,1.223950291410380800e+02,1.932954407933118546e+01
-9.890000000000000568e+01,1.156339840303909767e+02,1.643888067613722370e+01,1.224126922425989932e+02,1.933506426717868720e+01
-9.879999999999999716e+01,1.155241494389632209e+02,1.632059808301855242e+01,1.224232536468665273e+02,1.929140856476945487e+01
-9.870000000000000284e+01,1.153934352138472548e+02,1.623638755964631386e+01,1.224637034154601594e+02,1.929471032215776916e+01
-9.859999999999999432e+01,1.152586555109672730e+02,1.616206269850914623e+01,1.224928827200486836e+02,1.933186718412624572e+01
-9.850000000000000000e+01,1.151221673592502839e+02,1.610031234503246722e+01,1.224789261028227685e+02,1.941866685168321283e+01
-9.840000000000000568e+01,1.149892267149719061e+02,1.606627486403560567e+01,1.223810229210712208e+02,1.940378703843206409e+01
-9.829999999999999716e+01,1.148512948294791158e+02,1.604529134971471294e+01,1.222311492770525376e+02,1.939366806171270952e+01
-9.820000000000000284e+01,1.147586869997346923e+02,1.613748687284622818e+01,1.221580111374975957e+02,1.943166848034839589e+01
-9.809999999999999432e+01,1.146681883657086303e+02,1.624856498444481900e+01,1.221129276197066389e+02,1.947945807122439277e+01
-9.800000000000000000e+01,1.145730409321304961e+02,1.636064394735012328e+01,1.220854927264356746e+02,1.957351001951018077e+01
